                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9527,                 4.5169,                 4.0374,                0.00302,                0.39769,                 0.0104,                0.00555,                 3.4905,                 4.3187,                 3.5324,             0.00030029,             0.00030029,             0.00030029
                      2,                 3.0606,                 3.8418,                 3.2059,                0.76989,                 0.0801,                0.06833,                0.02616,                 2.7848,                 3.7508,                 2.9266,             0.00059732,             0.00059732,             0.00059732
                      3,                 2.4812,                 3.5044,                 2.6301,                0.80969,                0.12951,                 0.1156,                0.08009,                 2.5121,                 4.5005,                 2.5725,             0.00088835,             0.00088835,             0.00088835
                      4,                 2.2471,                 3.2704,                 2.3574,                0.28418,                0.24326,                 0.1457,                 0.1129,                 2.3891,                 3.2468,                 2.4048,               0.000882,               0.000882,               0.000882
                      1,                 3.9527,                 4.5169,                 4.0374,                0.00302,                0.39769,                 0.0104,                0.00555,                 3.4905,                 4.3187,                 3.5324,             0.00030029,             0.00030029,             0.00030029
                      2,                 3.0606,                 3.8418,                 3.2059,                0.76989,                 0.0801,                0.06833,                0.02616,                 2.7848,                 3.7508,                 2.9266,             0.00059732,             0.00059732,             0.00059732
                      3,                 2.4812,                 3.5044,                 2.6301,                0.80969,                0.12951,                 0.1156,                0.08009,                 2.5121,                 4.5005,                 2.5725,             0.00088835,             0.00088835,             0.00088835
                      4,                 2.2471,                 3.2704,                 2.3574,                0.28418,                0.24326,                 0.1457,                 0.1129,                 2.3891,                 3.2468,                 2.4048,               0.000882,               0.000882,               0.000882
                      5,                 2.1088,                 3.1019,                 2.1879,                 0.3835,                0.18878,                0.18985,                0.15685,                 2.3093,                 2.9939,                 2.3424,               0.000873,               0.000873,               0.000873
                      6,                  2.032,                  2.958,                 2.0878,                0.21422,                0.25137,                0.21212,                0.16902,                 2.3076,                 3.0208,                 2.2972,               0.000864,               0.000864,               0.000864
                      7,                 1.9593,                 2.8619,                 2.0282,                 0.4795,                0.26116,                0.24303,                0.20048,                 2.1368,                 2.8756,                 2.1355,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.9306,                 2.7826,                 1.9884,                0.14671,                0.18892,                0.07912,                0.05707,                 2.6645,                 5.0086,                 2.8272,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.8969,                 2.7216,                 1.9542,                0.39607,                0.30278,                0.27592,                0.22831,                 2.1671,                 2.8642,                 2.1379,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.8609,                 2.6586,                 1.9076,                 0.4714,                0.29705,                0.28048,                0.23222,                 2.0611,                 2.6642,                 2.0661,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.8301,                 2.6098,                 1.8823,                0.33571,                0.32591,                0.30425,                0.25569,                 1.9887,                 2.6441,                 2.0358,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.8042,                 2.5675,                 1.8591,                0.29235,                0.33191,                  0.286,                0.24489,                 2.0585,                 2.7339,                    2.1,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.7926,                 2.5312,                 1.8394,                0.29238,                0.33956,                0.31749,                0.27315,                 1.9732,                 2.5575,                 1.9957,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.7865,                 2.5197,                 1.8321,                0.45498,                 0.3398,                0.33499,                0.28559,                 1.9513,                 2.6045,                 1.9529,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.7504,                 2.4722,                  1.804,                0.36493,                0.37287,                 0.3512,                0.30256,                 1.9412,                 2.5251,                 1.9596,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.7534,                 2.4519,                 1.8078,                0.60662,                0.30398,                0.35308,                0.30045,                 1.8991,                 2.5618,                 1.9343,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.7279,                 2.3857,                 1.7724,                0.31553,                0.34301,                0.34092,                0.30094,                 1.8788,                 2.5197,                 1.9287,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.7278,                 2.3744,                 1.7732,                 0.3479,                0.44966,                0.39133,                0.34304,                 1.8236,                 2.3125,                  1.881,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.6841,                 2.3458,                 1.7449,                 0.3279,                0.38065,                0.33213,                0.27722,                 1.9643,                 2.6568,                 1.9906,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.6861,                  2.306,                 1.7377,                0.32836,                0.42482,                0.39882,                0.35511,                 1.8424,                 2.4193,                  1.866,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.6762,                  2.282,                 1.7289,                0.43484,                0.40251,                0.39606,                0.35204,                 1.8173,                 2.2561,                 1.8448,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.6677,                  2.301,                 1.7184,                0.36077,                0.45457,                0.40503,                0.35328,                 1.8135,                 2.2671,                 1.8492,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.6538,                 2.2676,                 1.7046,                0.36098,                0.42508,                0.37906,                0.32208,                 1.9019,                 2.4709,                 1.8967,             0.00071102,             0.00071102,             0.00071102
                     24,                 1.6457,                 2.2233,                 1.6997,                0.41083,                0.45099,                0.42913,                0.38044,                 1.8346,                 2.2462,                 1.8384,             0.00070202,             0.00070202,             0.00070202
                     25,                 1.6365,                 2.2323,                 1.6909,                0.44678,                0.46026,                0.43223,                0.37411,                 1.8411,                 2.2079,                 1.8457,             0.00069302,             0.00069302,             0.00069302
                     26,                  1.636,                 2.1981,                 1.6948,                 0.5006,                 0.4608,                0.44724,                0.40045,                 1.7197,                  2.149,                 1.7918,             0.00068402,             0.00068402,             0.00068402
                     27,                 1.6243,                 2.1835,                 1.6768,                0.42677,                0.45464,                0.45214,                0.40148,                 1.8054,                 2.1735,                 1.8293,             0.00067502,             0.00067502,             0.00067502
                     28,                 1.6148,                 2.1619,                 1.6713,                0.40293,                0.48369,                0.43949,                0.39009,                 1.7646,                 2.1766,                 1.8171,             0.00066602,             0.00066602,             0.00066602
                     29,                 1.6203,                 2.1728,                  1.679,                0.36146,                0.43657,                0.39527,                0.34547,                   1.86,                 2.4165,                 1.8478,             0.00065703,             0.00065703,             0.00065703
                     30,                 1.6071,                 2.1218,                 1.6626,                0.43754,                0.49143,                0.45378,                0.39615,                 1.7545,                 2.1652,                 1.8006,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.5979,                 2.1168,                 1.6585,                0.48688,                0.49268,                0.46987,                0.41703,                 1.7483,                 2.0654,                 1.7864,             0.00063903,             0.00063903,             0.00063903
                     32,                 1.5937,                 2.1014,                 1.6491,                0.46818,                0.45926,                0.45127,                0.38293,                 1.9053,                 2.2631,                  1.875,             0.00063003,             0.00063003,             0.00063003
                     33,                 1.5768,                 2.0903,                 1.6381,                0.47269,                0.48042,                0.46746,                0.41587,                 1.7415,                 2.0613,                 1.7749,             0.00062103,             0.00062103,             0.00062103
                     34,                 1.5812,                 2.0868,                 1.6394,                 0.4648,                0.51278,                0.48757,                0.43817,                 1.7185,                  2.024,                 1.7799,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.5752,                  2.072,                 1.6253,                  0.506,                0.46338,                0.48037,                0.42712,                 1.7725,                 2.1348,                 1.8113,             0.00060303,             0.00060303,             0.00060303
