                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0951,                 1653.5,                 4.1116,                0.00014,                0.06712,                0.00016,                  4e-05,                 3.6932,                    inf,                 3.6445,             0.00030029,             0.00030029,             0.00030029
                      1,                 4.0956,                 1655.6,                 4.1107,                0.00013,                0.06531,                0.00018,                  4e-05,                 3.8282,                    inf,                 3.6994,             0.00030029,             0.00030029,             0.00030029
                      1,                 4.0953,                 1655.8,                 4.1107,                0.00014,                0.06667,                0.00019,                  4e-05,                 3.7735,                    inf,                   3.75,             0.00030029,             0.00030029,             0.00030029
                      1,                 4.0991,                 1655.8,                 4.1112,                0.00014,                0.06667,                 0.0002,                  5e-05,                 3.7111,                    inf,                 3.6517,             0.00030029,             0.00030029,             0.00030029
                      1,                 4.1338,                 418.35,                 4.1672,                0.00314,                0.45859,                0.01588,                0.00539,                 4.3316,                 4.1655,                 4.0859,              0.0033036,              0.0033036,              0.0033036
                      2,                 3.4024,                 4.0872,                 3.5521,                0.05472,                0.20114,                0.03923,                0.01664,                 4.2614,                 4.2888,                 3.8697,               0.006615,               0.006615,               0.006615
                      3,                  2.835,                 3.8811,                 3.0143,                 0.7371,                 0.0209,                0.02572,                0.01576,                 3.2584,                  3.872,                 3.2723,              0.0099044,              0.0099044,              0.0099044
                      4,                 2.5533,                 3.7367,                  2.677,                0.74645,                0.06813,                0.04945,                0.03569,                 3.0082,                 5.2374,                 3.2471,               0.009901,               0.009901,               0.009901
                      5,                 2.2723,                 3.4244,                 2.3772,                0.13408,                0.14758,                 0.0799,                0.04896,                  2.619,                 4.1681,                 2.7349,               0.009868,               0.009868,               0.009868
                      6,                 2.1196,                 3.2496,                 2.2163,                0.28315,                0.19259,                0.12765,                0.09986,                 2.3781,                 3.4422,                 2.5139,               0.009835,               0.009835,               0.009835
                      7,                 2.0251,                 3.0999,                 2.1137,                0.76525,                0.14032,                0.13533,                 0.1014,                 2.4225,                 3.9478,                 2.5141,               0.009802,               0.009802,               0.009802
                      8,                 1.9679,                 2.9797,                  2.035,                0.55988,                 0.1861,                0.14991,                0.11798,                 2.3576,                 3.6661,                 2.3899,               0.009769,               0.009769,               0.009769
                      9,                 1.9218,                 2.8795,                  1.979,                0.23977,                 0.3141,                 0.2268,                0.19305,                 2.0848,                 2.9401,                 2.2198,               0.009736,               0.009736,               0.009736
                     10,                 1.8743,                 2.7868,                 1.9277,                0.19155,                0.27549,                0.19444,                0.14498,                 2.2232,                 3.2232,                 2.2854,               0.009703,               0.009703,               0.009703
                     11,                 1.8311,                 2.7108,                 1.8938,                 0.2668,                0.29588,                0.18555,                 0.1514,                 2.2001,                 3.5015,                 2.3027,                0.00967,                0.00967,                0.00967
                     12,                 1.8222,                 2.6577,                 1.8715,                0.32248,                0.33644,                0.29228,                0.23528,                 2.0619,                 2.7325,                 2.1654,               0.009637,               0.009637,               0.009637
                     13,                 1.7876,                 2.6291,                 1.8458,                0.31064,                 0.3452,                0.26925,                0.22998,                 2.0761,                 2.8738,                 2.1507,               0.009604,               0.009604,               0.009604
                     14,                  1.777,                 2.5814,                 1.8287,                0.58583,                0.25615,                 0.3269,                0.28262,                 1.9306,                 2.5908,                 2.0554,               0.009571,               0.009571,               0.009571
                     15,                 1.7551,                 2.5381,                 1.8138,                0.67192,                0.25677,                0.29653,                0.25327,                 1.9933,                 2.7872,                 2.0664,               0.009538,               0.009538,               0.009538
                     16,                 1.7361,                 2.4831,                 1.8022,                0.36194,                 0.3584,                  0.351,                0.29079,                 1.9427,                 2.5678,                 2.0373,               0.009505,               0.009505,               0.009505
                     17,                 1.7226,                 2.4251,                 1.7733,                0.53426,                0.24715,                0.25174,                0.19882,                 2.1509,                  3.121,                 2.2293,               0.009472,               0.009472,               0.009472
                     18,                 1.7164,                 2.4208,                  1.778,                0.42378,                0.39651,                0.36749,                0.31324,                 1.8588,                 2.4344,                  1.951,               0.009439,               0.009439,               0.009439
                     19,                 1.6776,                  2.382,                 1.7483,                0.37419,                0.35844,                0.31771,                0.27799,                 2.0255,                 2.8376,                 2.0872,               0.009406,               0.009406,               0.009406
                     20,                 1.6769,                 2.3535,                 1.7375,                0.42132,                0.29022,                 0.3334,                0.28134,                 1.9163,                 2.7479,                 2.0085,               0.009373,               0.009373,               0.009373
                     21,                 1.6558,                 2.3186,                 1.7321,                0.27646,                0.27445,                0.21978,                0.17229,                 2.4116,                 3.3702,                 2.3672,                0.00934,                0.00934,                0.00934
                     22,                 1.6635,                 2.3263,                 1.7201,                0.43229,                  0.394,                0.37443,                0.32684,                 1.8419,                  2.441,                 1.9487,               0.009307,               0.009307,               0.009307
                     23,                 1.6399,                 2.3021,                 1.7092,                0.27689,                 0.3218,                0.25701,                0.20011,                 2.0469,                 3.2949,                 2.1351,               0.009274,               0.009274,               0.009274
                     24,                 1.6336,                 2.2615,                 1.7013,                0.38268,                0.40383,                0.39402,                0.34339,                 1.8702,                 2.3296,                 1.9222,               0.009241,               0.009241,               0.009241
                     25,                 1.6202,                 2.2645,                 1.6926,                0.25262,                 0.3007,                0.23133,                0.17867,                 2.1953,                 3.7731,                 2.2376,               0.009208,               0.009208,               0.009208
                     26,                 1.6344,                 2.2378,                 1.7072,                0.45702,                 0.4103,                0.40895,                 0.3592,                 1.8441,                 2.3256,                 1.9438,               0.009175,               0.009175,               0.009175
                     27,                 1.6235,                 2.2308,                 1.6869,                0.75991,                0.29671,                0.38502,                0.33824,                 1.8161,                 2.5389,                 1.9274,               0.009142,               0.009142,               0.009142
                     28,                 1.6071,                 2.1968,                 1.6801,                0.29593,                0.39795,                0.30164,                0.24369,                 1.9444,                 2.8081,                 2.0102,               0.009109,               0.009109,               0.009109
                     29,                 1.6098,                 2.1911,                  1.682,                0.44135,                0.41139,                 0.3773,                0.33587,                 1.8552,                 2.3853,                 1.8924,               0.009076,               0.009076,               0.009076
                     30,                 1.5966,                 2.1388,                 1.6707,                0.51646,                0.44598,                0.45715,                0.40615,                 1.7681,                 2.1649,                 1.8643,               0.009043,               0.009043,               0.009043
                     31,                 1.5935,                 2.1325,                 1.6646,                0.40019,                0.42889,                0.37121,                0.32501,                 1.8781,                  2.502,                 1.9549,                0.00901,                0.00901,                0.00901
                     32,                 1.5799,                 2.1246,                 1.6523,                0.48307,                0.45961,                0.45238,                  0.396,                 1.7947,                 2.1999,                 1.8472,               0.008977,               0.008977,               0.008977
                     33,                 1.5755,                  2.112,                 1.6427,                0.48177,                0.45458,                0.46847,                0.41272,                 1.7157,                 2.1653,                 1.8183,               0.008944,               0.008944,               0.008944
                     34,                  1.579,                 2.1153,                 1.6482,                0.40963,                0.44963,                0.44302,                0.39583,                 1.8412,                 2.1496,                 1.9104,               0.008911,               0.008911,               0.008911
